cca,cca_num,tract
Rogers Park,1,17031010100
Rogers Park,1,17031010201
Rogers Park,1,17031010202
Rogers Park,1,17031010300
Rogers Park,1,17031010400
Rogers Park,1,17031010501
Rogers Park,1,17031010502
Rogers Park,1,17031010503
Rogers Park,1,17031010600
Rogers Park,1,17031010701
Rogers Park,1,17031010702
West Ridge,2,17031020100
West Ridge,2,17031020200
West Ridge,2,17031020301
West Ridge,2,17031020302
West Ridge,2,17031020400
West Ridge,2,17031020500
West Ridge,2,17031020601
West Ridge,2,17031020602
West Ridge,2,17031020701
West Ridge,2,17031020702
West Ridge,2,17031020801
West Ridge,2,17031020802
West Ridge,2,17031020901
West Ridge,2,17031020902
Edgewater,77,17031030101
Edgewater,77,17031030102
Edgewater,77,17031030103
Edgewater,77,17031030104
Edgewater,77,17031030200
Edgewater,77,17031030300
Edgewater,77,17031030400
Edgewater,77,17031030500
Edgewater,77,17031030601
Edgewater,77,17031030603
Edgewater,77,17031030604
Edgewater,77,17031030701
Edgewater,77,17031030702
Edgewater,77,17031030703
Edgewater,77,17031030706
Edgewater,77,17031030800
Edgewater,77,17031030900
Uptown,3,17031031000
Uptown,3,17031031100
Uptown,3,17031031200
Uptown,3,17031031300
Uptown,3,17031031400
Uptown,3,17031031501
Uptown,3,17031031502
Uptown,3,17031031700
Uptown,3,17031031800
Uptown,3,17031031900
Uptown,3,17031032100
Lincoln Square,4,17031040100
Lincoln Square,4,17031040201
Lincoln Square,4,17031040202
Lincoln Square,4,17031040300
Lincoln Square,4,17031040401
Lincoln Square,4,17031040402
Lincoln Square,4,17031040600
Lincoln Square,4,17031040700
Lincoln Square,4,17031040800
Lincoln Square,4,17031040900
North Center,5,17031050100
North Center,5,17031050200
North Center,5,17031050300
North Center,5,17031050500
North Center,5,17031050600
North Center,5,17031050700
North Center,5,17031050800
North Center,5,17031050900
North Center,5,17031051000
North Center,5,17031051100
North Center,5,17031051200
North Center,5,17031051300
North Center,5,17031051400
Lake View,6,17031060100
Lake View,6,17031060200
Lake View,6,17031060300
Lake View,6,17031060400
Lake View,6,17031060500
Lake View,6,17031060800
Lake View,6,17031060900
Lake View,6,17031061000
Lake View,6,17031061100
Lake View,6,17031061200
Lake View,6,17031061500
Lake View,6,17031061800
Lake View,6,17031061901
Lake View,6,17031062000
Lake View,6,17031062100
Lake View,6,17031062200
Lake View,6,17031062300
Lake View,6,17031062400
Lake View,6,17031062500
Lake View,6,17031062600
Lake View,6,17031062700
Lake View,6,17031062800
Lake View,6,17031062900
Lake View,6,17031063000
Lake View,6,17031063100
Lake View,6,17031063200
Lake View,6,17031063301
Lake View,6,17031063302
Lake View,6,17031063303
Lake View,6,17031063400
Lincoln Park,7,17031070101
Lincoln Park,7,17031070102
Lincoln Park,7,17031070103
Lincoln Park,7,17031070200
Lincoln Park,7,17031070300
Lincoln Park,7,17031070400
Lincoln Park,7,17031070500
Lincoln Park,7,17031070600
Lincoln Park,7,17031070700
Lincoln Park,7,17031071000
Lincoln Park,7,17031071100
Lincoln Park,7,17031071200
Lincoln Park,7,17031071300
Lincoln Park,7,17031071400
Lincoln Park,7,17031071500
Lincoln Park,7,17031071600
Lincoln Park,7,17031071700
Lincoln Park,7,17031071800
Near North Side,8,17031080100
Near North Side,8,17031080201
Near North Side,8,17031080202
Near North Side,8,17031080300
Near North Side,8,17031080400
Near North Side,8,17031081000
Near North Side,8,17031081100
Near North Side,8,17031081201
Near North Side,8,17031081202
Near North Side,8,17031081300
Near North Side,8,17031081401
Near North Side,8,17031081402
Near North Side,8,17031081403
Near North Side,8,17031081500
Near North Side,8,17031081600
Near North Side,8,17031081700
Near North Side,8,17031081800
Near North Side,8,17031081900
Edison Park,9,17031090100
Edison Park,9,17031090200
Edison Park,9,17031090300
Norwood Park,10,17031100100
Norwood Park,10,17031100200
Norwood Park,10,17031100300
Norwood Park,10,17031100400
Norwood Park,10,17031100500
Norwood Park,10,17031100600
Norwood Park,10,17031100700
Jefferson Park,11,17031110100
Jefferson Park,11,17031110200
Jefferson Park,11,17031110300
Jefferson Park,11,17031110400
Jefferson Park,11,17031110501
Jefferson Park,11,17031110502
Forest Glen,12,17031120100
Forest Glen,12,17031120200
Forest Glen,12,17031120300
Forest Glen,12,17031120400
North Park,13,17031130100
North Park,13,17031130200
North Park,13,17031130300
Albany Park,14,17031140100
Albany Park,14,17031140200
Albany Park,14,17031140301
Albany Park,14,17031140302
Albany Park,14,17031140400
Albany Park,14,17031140500
Albany Park,14,17031140601
Albany Park,14,17031140602
Albany Park,14,17031140701
Albany Park,14,17031140702
Albany Park,14,17031140800
